,Time,Right Ascension,Declination,Distance,X,Y,Z
0,1560-01-29,351.380758723709,-18.850411958382466,6512011015.330015,6093140223.704789,-923593948.5913781,-2104020887.7707443
1,1560-02-14,351.7432017189023,-18.669932289560123,6529108832.748196,6121419588.596391,-888305202.7040201,-2090071347.3630192
2,1560-03-01,352.1381635172903,-18.500372187303782,6535688348.057423,6139678720.355925,-847782956.015251,-2073844606.8189976
3,1560-03-17,352.5410973750509,-18.352540580142545,6531500076.4392185,6146832382.350833,-804760811.5617833,-2056527400.2509954
4,1560-04-02,352.92715302732455,-18.23590580332517,6517096679.691929,6142681123.701839,-762155314.1090989,-2039396239.6120913
5,1560-04-18,353.2735386004432,-18.15767558159311,6493697947.288103,6127855653.589435,-722726886.4080049,-2023651147.5668743
6,1560-05-04,353.5600792854204,-18.1225274435948,6463185064.100597,6103809583.317988,-688958604.2042112,-2010374538.5130363
7,1560-05-20,353.77041784844334,-18.132495702926175,6427843609.545411,6072561842.838994,-662863804.1158497,-2000444378.3476534
8,1560-06-05,353.8932791875041,-18.186322168105274,6390316084.654812,6036647367.447722,-645847693.8622215,-1994469598.469059
9,1560-06-21,353.9224713288814,-18.279944385690712,6353383760.692478,5998855461.464967,-638713193.1338124,-1992803005.8186016
10,1560-07-07,353.8585544936421,-18.406045132298313,6319790384.908921,5962072053.783299,-641524016.5833116,-1995468433.934813
11,1560-07-23,353.70831203009664,-18.554708309415386,6292133070.848774,5929141129.8266,-653712650.7473428,-2002219721.7389152
12,1560-08-08,353.48538152711717,-18.713959990498353,6272575470.921272,5902596667.846084,-674041527.4189456,-2012516741.4086945
13,1560-08-24,353.209659117672,-18.870364745562195,6262797329.58857,5884619817.510711,-700692295.4605601,-2025564193.4888513
14,1560-09-09,352.9056527007569,-19.010650581722302,6263750056.245747,5876773910.365847,-731402105.336461,-2040378429.0840027
15,1560-09-25,352.6015144852938,-19.122326892719343,6275592673.495537,5879949713.594158,-763514087.966662,-2055796927.400972
16,1560-10-11,352.32556512794616,-19.195413999274454,6297659996.144705,5894254357.887293,-794256549.335387,-2070614286.9703734
17,1560-10-27,352.10452553142983,-19.223114433221742,6328407506.714189,5918912015.562676,-820840409.0766124,-2083613002.9089406
18,1560-11-12,351.96038842536615,-19.2024134195845,6365627805.9582205,5952377346.494746,-840748961.6643246,-2093695888.228518
19,1560-11-28,351.90830325846605,-19.134568500011824,6406512842.48029,5992302555.960287,-851944974.5966821,-2099977771.0623887
20,1560-12-14,351.9558171317479,-19.0243176289668,6447980912.012441,6035814351.468627,-853025272.5159211,-2101844628.1139054
21,1560-12-30,352.1015935152096,-18.87985799331927,6486916444.712421,6079686319.79237,-843453847.7958348,-2099067607.3553114
22,1561-01-15,352.3369748054775,-18.711531645932318,6520410902.927946,6120626295.689495,-823519451.8054175,-2091771451.1949017
23,1561-01-31,352.6463855061202,-18.531122470365162,6546088624.756433,6155632227.7358885,-794410033.7820312,-2080476113.3575404
24,1561-02-16,353.0094415828474,-18.351009599753514,6562171115.714065,6182154603.962964,-758039063.9668546,-2066018146.607563
25,1561-03-04,353.40289101403977,-18.182958340765772,6567702438.444532,6198427550.25609,-716865593.2858061,-2049466990.5464509
26,1561-03-20,353.8018250458276,-18.037934489645053,6562503941.107397,6203491780.976568,-673714936.3374983,-2032057057.5065174
27,1561-04-05,354.18220770700316,-17.92496028007614,6547172412.624396,6197289622.165601,-631442111.2263067,-2015030719.3188336
28,1561-04-21,354.52123084622156,-17.851060962329335,6523039211.302065,6180632921.445972,-592815887.4317786,-1999596600.8500228
29,1561-05-07,354.79931908287267,-17.820683763408006,6491966676.217387,6155032428.5398855,-560225585.684942,-1986795012.5474415
30,1561-05-23,355.00073384964406,-17.83530993201328,6456329838.172539,6122663226.098151,-535584603.0774423,-1977457744.6835124
31,1561-06-08,355.1143361463246,-17.893646183437617,6418751559.237643,6086073256.852739,-520226558.09871066,-1972168405.5086007
32,1561-06-24,355.1349986076572,-17.990996840469045,6382018360.901489,6048101605.006869,-514783826.419488,-1971198352.8944979
33,1561-07-10,355.06329169149257,-18.119948524822146,6348890693.469898,6011649322.667176,-519260219.77009904,-1974551666.3456247
34,1561-07-26,354.9068829886515,-18.270281758293155,6321882827.425069,5979483256.080059,-532930629.6269606,-1981910042.851496
35,1561-08-11,354.6797536032608,-18.42972617425782,6303179575.6407385,5954141402.666089,-554471166.6997869,-1992695321.7013972
36,1561-08-27,354.40195666356476,-18.585038780401224,6294348819.423685,5937655036.09946,-581987445.5407829,-2006083334.7834737
37,1561-09-12,354.0986293745667,-18.722664512782817,6296302951.624786,5931521449.679939,-613106523.6145122,-2021035512.1390414
38,1561-09-28,353.7973528023452,-18.830587044659566,6309127313.732667,5936487435.043601,-645186431.3800178,-2036403413.67327
39,1561-10-14,353.5267322719447,-18.89892666024041,6332041136.232439,5952496574.852514,-675388181.8617568,-2050946191.6662657
40,1561-10-30,353.3126858785822,-18.921280922141154,6363483313.493405,5978677561.461803,-700991223.811359,-2063479052.7944803
41,1561-11-15,353.1766139904487,-18.895210265137912,6401121046.750103,6013284878.194146,-719530229.5039147,-2072928333.941816
42,1561-12-01,353.13313653719274,-18.822127687241224,6442155801.87151,6053919171.219369,-729052458.8799969,-2078440895.5104752
43,1561-12-17,353.18855109860624,-18.707485061566583,6483466034.82089,6097590289.519681,-728329402.3925565,-2079485697.8209577
44,1562-01-02,353.3413400616883,-18.559531294305526,6521938320.203736,6141049531.697358,-716915863.0332195,-2075866505.1281414
45,1562-01-18,353.58177205355895,-18.38898674378609,6554743555.166183,6181051843.992748,-695307288.1475208,-2067802928.4521794
46,1562-02-03,353.89414878694384,-18.20777414679084,6579506151.458487,6214611973.633338,-664792336.7252206,-2055857573.6866188
47,1562-02-19,354.2578776553164,-18.02811439203839,6594585208.72676,6239357327.686699,-627403704.8560449,-2040916167.7376575
48,1562-03-07,354.64943405855144,-17.8619737236736,6599056934.413687,6253602881.983912,-585696220.4864143,-2024095688.2973177
49,1562-03-23,355.0445455370461,-17.719835642159207,6592841318.593022,6256577824.608354,-542478453.6873816,-2006615983.2043936
50,1562-04-08,355.41892262050936,-17.61075350948126,6576618377.242258,6248372345.642679,-500655198.3787173,-1989747894.1877952
51,1562-04-24,355.7506148438003,-17.541335047736055,6551734328.234558,6229903794.982329,-462894601.09122896,-1974651868.3840215
52,1562-05-10,356.0202238338147,-17.51568544569432,6520156693.022615,6202853321.594607,-431545669.56068003,-1962351219.1842165
53,1562-05-26,356.21249427849716,-17.535139850924786,6484227661.76422,6169416680.867987,-408420946.39517033,-1953637253.4229043
54,1562-06-11,356.3170874744209,-17.597772877916608,6446631402.362018,6132254236.353466,-394718641.64575815,-1949028376.5462124
55,1562-06-27,356.32892870902594,-17.698877219237165,6410137719.917569,6094198925.110577,-391004431.0401991,-1948774123.493542
56,1562-07-13,356.2496743602485,-17.83049474979593,6377476012.132153,6058142836.656353,-397106239.04097754,-1952796018.765162
